player_id,player_name,team,position,height_raw,weight_raw,height_inches,weight_lbs
1631093,Jaden Ivey,Pistons,Guard,6-3,195,75,195.0
1641713,GG Jackson,Grizzlies,Forward,6-9,210,81,210.0
1630543,Isaiah Jackson,Pacers,Forward,6-8,205,80,205.0
1631245,Quenton Jackson,Pacers,Guard,6-4,173,76,173.0
202704,Reggie Jackson,,Guard,6-2,208,74,208.0
1641748,Andre Jackson Jr.,Bucks,Guard,6-6,209,78,209.0
1628991,Jaren Jackson Jr.,Grizzlies,Forward-Center,6-10,242,82,242.0
1631218,Trayce Jackson-Davis,Warriors,Forward,6-9,245,81,245.0
1642355,Bronny James,Lakers,Guard,6-3,210,75,210.0
2544,LeBron James,Lakers,Forward,6-9,250,81,250.0
1631170,Jaime Jaquez Jr.,Heat,Guard,6-6,225,78,225.0
1629610,DaQuan Jeffries,Hornets,Guard-Forward,6-5,222,77,222.0
1641998,Trey Jemison III,Knicks,Center,6-10,270,82,270.0
1642450,Daniss Jenkins,Pistons,Guard,6-4,165,76,165.0
1629660,Ty Jerome,Grizzlies,Guard-Forward,6-5,195,77,195.0
1630198,Isaiah Joe,Thunder,Guard,6-3,165,75,165.0
1642358,AJ Johnson,Wizards,Guard,6-5,160,77,160.0
1629661,Cameron Johnson,Nuggets,Forward,6-8,210,80,210.0
1630552,Jalen Johnson,Hawks,Forward,6-8,219,80,219.0
201949,James Johnson,Pacers,Forward,6-7,240,79,240.0
1629640,Keldon Johnson,Spurs,Forward-Guard,6-6,220,78,220.0
1630553,Keon Johnson,Nets,Guard,6-5,185,77,185.0
1642352,Keshad Johnson,Heat,Forward,6-6,225,78,225.0
203999,Nikola Jokić,Nuggets,Center,6-11,284,83,284.0
1641732,Colby Jones,Pistons,Guard,6-6,207,78,207.0
1641794,Dillon Jones,Wizards,Forward,6-5,235,77,235.0
1630529,Herbert Jones,Pelicans,Forward,6-7,206,79,206.0
1642403,Isaac Jones,Kings,Forward,6-9,245,81,245.0
1630539,Kai Jones,Mavericks,Center-Forward,6-11,221,83,221.0
1630222,Mason Jones,Kings,Guard,6-4,200,76,200.0
