,Year,Player,HEIGHT,WEIGHT,POSITION,bSPARQ,NBA %
144,2024,Tristen Newton,6' 3.25'',191.8,PG,69.94,14.30%
145,2024,Tyler Kolek,6' 1.25'',196.6,PG,75.1,40.10%
146,2024,Tyler Smith,6' 9.00'',223.8,BIG,93.77,71.00%
147,2024,Ulrich Chomche,6' 10.25'',232.4,BIG,89.61,50.50%
148,2024,Yves Missi,6' 10.75'',229.4,BIG,93.27,68.70%
149,2024,Zaccharie Risacher,6' 8.5'',194.6,WING,70.58,4.10%
150,2024,Zach Edey,7' 3.75'',299,BIG,100.45,92.30%
151,2023,Adam Flagler,6' 1.00'',191.8,PG,81.44,77.50%
152,2023,Adama Sanogo,6' 7.25'',257.8,BIG,95.91,79.70%
153,2023,Amari Bailey,6' 3.25'',190.8,WING,76.41,16.70%
154,2023,Andre Jackson Jr.,6' 5.50'',198.4,WING,82.51,43.70%
155,2023,Anthony Black,6' 5.75'',210,PG,89.32,97.70%
156,2023,Arthur Kaluma,6' 6.25'',221.8,BIG,94.21,72.90%
157,2023,Azuolas Tubelis,6' 8.75'',234.8,BIG,77.47,5.90%
158,2023,Ben Sheppard,6' 5.25'',194.6,WING,79.32,28.00%
159,2023,Brandin Podziemski,6' 3.75'',203.8,WING,86.22,63.10%
160,2023,Cam Whitmore,6' 5.75'',235,WING,96.44,95.50%
161,2023,Cason Wallace,6' 2.50'',195.2,PG,76.66,49.90%
162,2023,Chris Livingston,6' 6.00'',219.2,WING,89.05,76.10%
163,2023,Colby Jones,6' 4.50'',199.2,WING,82.76,45.00%
164,2023,Coleman Hawkins,6' 8.50'',224.4,BIG,81.66,15.40%
165,2023,DaRon Holmes II,6' 9.00'',220.8,BIG,87.25,38.40%
166,2023,Dillon Mitchell,6' 6.75'',193,BIG,77.93,6.60%
167,2023,Drew Timme,6' 8.75'',243.2,BIG,85.5,30.10%
168,2023,Emoni Bates,6' 8.25'',179.2,WING,70.19,3.60%
169,2023,GG Jackson,6' 8.25'',214.4,BIG,88.55,45.00%
170,2023,Gradey Dick,6' 6.25'',204,WING,81.15,36.70%
171,2023,Grant Nelson,6' 10.00'',223.4,BIG,93.54,70.00%
172,2023,Isaiah Wong,6' 2.50'',178.4,WING,79.77,30.10%
173,2023,Jaime Jaquez Jr.,6' 6.00'',226.4,WING,100.28,98.60%
174,2023,Jalen Pickett,6' 2.00'',197.8,PG,78.36,60.50%
