player_id,player_name,team,position,portability_score,portability_source,age,mp
1628420,Monté Morris,,G,6.6,provided_list,30.0,571.0
201142,Kevin Durant,,F,8.3,provided_list,37.0,2265.0
1630703,Scoot Henderson,,G,2.0,provided_list,21.0,1759.0
1629014,Anfernee Simons,,G,6.4,provided_list,26.0,2292.0
1629028,Deandre Ayton,,C,1.6,provided_list,27.0,1206.0
1629680,Matisse Thybulle,,G-F,5.7,provided_list,28.0,312.0
1630625,Dalano Banton,,F,2.6,provided_list,26.0,1120.0
1630166,Deni Avdija,,F,8.4,provided_list,25.0,2161.0
203924,Jerami Grant,,F,6.2,provided_list,31.0,1524.0
1631303,Justin Minaya,,F,5.0,default_5.0,,
1631121,Bryce McGowens,,G,5.0,default_5.0,,
1631101,Shaedon Sharpe,,G,2.0,provided_list,22.0,2252.0
1641712,Rayan Rupert,,G-F,0.2,provided_list,21.0,460.0
1642270,Donovan Clingan,,C,1.4,provided_list,21.0,1324.0
1631200,Kris Murray,,F,0.4,provided_list,25.0,1040.0
1631321,Sidy Cissoko,,G,5.0,default_5.0,,
1641871,Duop Reath,,C,4.4,provided_list,29.0,469.0
1641739,Toumani Camara,,F,5.6,provided_list,25.0,2548.0
1631133,Jabari Walker,,F,1.6,provided_list,23.0,749.0
1629057,Robert Williams III,,C-F,1.6,provided_list,28.0,351.0
1628370,Malik Monk,,G,5.1,provided_list,27.0,2054.0
1629056,Terence Davis,,G,5.0,default_5.0,,
1642403,Isaac Jones,,F,1.8,provided_list,25.0,304.0
203926,Doug McDermott,,F,3.8,provided_list,34.0,342.0
203897,Zach LaVine,,G,6.5,provided_list,30.0,2602.0
201942,DeMar DeRozan,,G-F,5.3,provided_list,36.0,2768.0
1627734,Domantas Sabonis,,F-C,8.5,provided_list,29.0,2429.0
1631099,Keegan Murray,,F,6.3,provided_list,25.0,2610.0
1630222,Mason Jones,,G,5.0,default_5.0,,
202685,Jonas Valančiūnas,,C,3.8,provided_list,33.0,1524.0
1628365,Markelle Fultz,,G,1.3,provided_list,27.0,184.0
1642269,Devin Carter,,G,0.9,provided_list,23.0,396.0
1631165,Keon Ellis,,G,7.6,provided_list,26.0,1948.0
1642384,Isaiah Crawford,,F,5.0,default_5.0,,
1631222,Jake LaRavia,,F,6.6,provided_list,24.0,1349.0
1626168,Trey Lyles,,F,5.9,provided_list,30.0,1349.0
203109,Jae Crowder,,F,5.0,default_5.0,,
1629640,Keldon Johnson,,F-G,2.3,provided_list,26.0,1838.0
1641705,Victor Wembanyama,,F-C,6.8,provided_list,22.0,1527.0
101108,Chris Paul,,G,9.4,provided_list,40.0,2292.0
1628368,De'Aaron Fox,,G,1.5,provided_list,28.0,2241.0
1642264,Stephon Castle,,G,0.6,provided_list,21.0,2162.0
1630561,David Duke Jr.,,G,5.0,default_5.0,,
1631110,Jeremy Sochan,,F,3.0,provided_list,22.0,1364.0
1629162,Jordan McLaughlin,,G,6.7,provided_list,29.0,314.0
1631104,Blake Wesley,,G,0.7,provided_list,22.0,683.0
202687,Bismack Biyombo,,C,1.1,provided_list,33.0,528.0
1631103,Malaki Branham,,F,5.2,provided_list,22.0,427.0
1630170,Devin Vassell,,G-F,5.9,provided_list,25.0,1983.0
1642434,Riley Minix,,F,5.0,default_5.0,,
1629646,Charles Bassey,,C-F,1.7,provided_list,25.0,376.0
1630577,Julian Champagnie,,F,7.7,provided_list,24.0,1932.0
203084,Harrison Barnes,,F,9.2,provided_list,33.0,2230.0
1630572,Sandro Mamukelashvili,,F-C,6.8,provided_list,26.0,681.0
1631127,Harrison Ingram,,F,5.0,default_5.0,,
1628983,Shai Gilgeous-Alexander,,G,6.6,provided_list,27.0,2598.0
1641794,Dillon Jones,,F,1.3,provided_list,24.0,551.0
1629652,Luguentz Dort,,G,6.8,provided_list,26.0,2073.0
1631119,Jaylin Williams,,F,9.4,provided_list,23.0,784.0
1631096,Chet Holmgren,,C-F,7.5,provided_list,23.0,877.0
1631114,Jalen Williams,,G-F,8.4,provided_list,24.0,2237.0
1627936,Alex Caruso,,G,6.4,provided_list,31.0,1041.0
1630198,Isaiah Joe,,G,9.2,provided_list,26.0,1604.0
1631172,Ousmane Dieng,,F,3.4,provided_list,22.0,405.0
1641745,Adam Flagler,,G,0.1,provided_list,26.0,203.0
1642382,Branden Carlson,,C,6.3,provided_list,26.0,246.0
1630598,Aaron Wiggins,,G,6.4,provided_list,27.0,1744.0
1641717,Cason Wallace,,G,5.1,provided_list,22.0,1876.0
