team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct,bsparq_imputed,bsparq_source
San Antonio Spurs,Harrison Ingram,1631127,F,harrison ingram,96,2024,Harrison Ingram,6' 5.25'',233.6,WING,90,79.90%,90,measured
Miami Heat,Haywood Highsmith,1629312,F,haywood highsmith,,,,,,,,,85.83,imputed
New Orleans Pelicans,Herbert Jones,1630529,F,herbert jones,273,2021,Herbert Jones,6'6.0'',206.4,WING,80.92,35.60%,80.92,measured
Denver Nuggets,Hunter Tyson,1641816,F,hunter tyson,,,,,,,,,85.83,imputed
Toronto Raptors,Immanuel Quickley,1630193,G,immanuel quickley,319,2020,Immanuel Quickley,6'2.00'',185.8,WING,76.69,17.60%,76.69,measured
Sacramento Kings,Isaac Jones,1642403,F,isaac jones,98,2024,Isaac Jones,6' 7.75'',235,BIG,90.38,54.50%,90.38,measured
Cleveland Cavaliers,Isaac Okoro,1630171,F-G,isaac okoro,,,,,,,,,89.825,imputed
Utah Jazz,Isaiah Collier,1642268,G,isaiah collier,99,2024,Isaiah Collier,6' 2.50'',204.6,PG,83.41,85.70%,83.41,measured
Sacramento Kings,Isaiah Crawford,1642384,F,isaiah crawford,,,,,,,,,85.83,imputed
Oklahoma City Thunder,Isaiah Hartenstein,1628392,C-F,isaiah hartenstein,,,,,,,,,89.695,imputed
Indiana Pacers,Isaiah Jackson,1630543,F,isaiah jackson,,,,,,,,,85.83,imputed
Oklahoma City Thunder,Isaiah Joe,1630198,G,isaiah joe,,,,,,,,,80.625,imputed
Miami Heat,Isaiah Stevens,1641815,G,isaiah stevens,,,,,,,,,80.625,imputed
Detroit Pistons,Isaiah Stewart,1630191,F-C,isaiah stewart,,,,,,,,,95.17,imputed
Los Angeles Clippers,Ivica Zubac,1627826,C,ivica zubac,,,,,,,,,93.27,imputed
Memphis Grizzlies,Ja Morant,1629630,G,ja morant,,,,,,,,,80.625,imputed
Houston Rockets,Jabari Smith Jr.,1631095,F,jabari smith jr,,,,,,,,,85.83,imputed
Portland Trail Blazers,Jabari Walker,1631133,F,jabari walker,226,2022,Jabari Walker,6' 6.75'',213.8,BIG,85.17,28.60%,85.17,measured
Houston Rockets,Jack McVeigh,1629098,G-F,jack mcveigh,,,,,,,,,84.81,imputed
Golden State Warriors,Jackson Rowe,1642050,F,jackson rowe,,,,,,,,,85.83,imputed
Atlanta Hawks,Jacob Toppin,1631210,F,jacob toppin,,,,,,,,,85.83,imputed
Dallas Mavericks,Jaden Hardy,1630702,G,jaden hardy,,,,,,,,,80.625,imputed
Detroit Pistons,Jaden Ivey,1631093,G,jaden ivey,,,,,,,,,80.625,imputed
Minnesota Timberwolves,Jaden McDaniels,1630183,F,jaden mcdaniels,,,,,,,,,85.83,imputed
Utah Jazz,Jaden Springer,1630531,G,jaden springer,276,2021,Jaden Springer,6'3.0'',202,WING,91.75,85.70%,91.75,measured
Sacramento Kings,Jae Crowder,203109,F,jae crowder,719,2012,Jae Crowder,6' 4.75'',241.2,WING,97.1,96.20%,97.1,measured
Houston Rockets,Jae'Sean Tate,1630256,F,jae sean tate,,,,,,,,,85.83,imputed
Chicago Bulls,Jahmir Young,1642443,G,jahmir young,,,,,,,,,80.625,imputed
Miami Heat,Jaime Jaquez Jr.,1631170,G,jaime jaquez jr,173,2023,Jaime Jaquez Jr.,6' 6.00'',226.4,WING,100.28,98.60%,100.28,measured
Sacramento Kings,Jake LaRavia,1631222,F,jake laravia,227,2022,Jake LaRavia,6' 6.75'',227.2,BIG,84.71,26.60%,84.71,measured
Toronto Raptors,Jakob Poeltl,1627751,C,jakob poeltl,,,,,,,,,93.27,imputed
Toronto Raptors,Ja'Kobe Walter,1642266,G,ja kobe walter,101,2024,Ja'Kobe Walter,6' 4.25'',197.6,WING,82.23,42.20%,82.23,measured
Phoenix Suns,Jalen Bridges,1641779,F,jalen bridges,102,2024,Jalen Bridges,6' 6.75'',213.4,WING,75.49,13.80%,75.49,measured
New York Knicks,Jalen Brunson,1628973,G,jalen brunson,430,2018,Jalen Brunson,6' 1'',198.4,PG,79.59,67.70%,79.59,measured
Detroit Pistons,Jalen Duren,1631105,C,jalen duren,,,,,,,,,93.27,imputed
Houston Rockets,Jalen Green,1630224,G,jalen green,,,,,,,,,80.625,imputed
Philadelphia 76ers,Jalen Hood-Schifino,1641720,G,jalen hood schifino,,,,,,,,,80.625,imputed
Atlanta Hawks,Jalen Johnson,1630552,F,jalen johnson,,,,,,,,,85.83,imputed
Denver Nuggets,Jalen Pickett,1629618,G,jalen pickett,174,2023,Jalen Pickett,6' 2.00'',197.8,PG,78.36,60.50%,78.36,measured
Chicago Bulls,Jalen Smith,1630188,F-C,jalen smith,,,,,,,,,95.17,imputed
Orlando Magic,Jalen Suggs,1630591,G,jalen suggs,,,,,,,,,80.625,imputed
Oklahoma City Thunder,Jalen Williams,1631114,G-F,jalen williams,228,2022,Jalen Williams,6' 4.50'',209.2,WING,92.12,86.80%,92.12,measured
Brooklyn Nets,Jalen Wilson,1630592,F,jalen wilson,176,2023,Jalen Wilson,6' 5.50'',230.2,WING,94.72,92.80%,94.72,measured
New Orleans Pelicans,Jamal Cain,1631288,F,jamal cain,,,,,,,,,85.83,imputed
Denver Nuggets,Jamal Murray,1627750,G,jamal murray,,,,,,,,,80.625,imputed
Toronto Raptors,Jamal Shead,1642347,G,jamal shead,103,2024,Jamal Shead,6' 0.25'',200.8,PG,82.34,81.50%,82.34,measured
Milwaukee Bucks,Jamaree Bouyea,1631123,G,jamaree bouyea,,,,,,,,,80.625,imputed
Los Angeles Clippers,James Harden,201935,G,james harden,866,2009,James Harden,6' 4'',222,WING,92.14,86.90%,92.14,measured
Indiana Pacers,James Johnson,201949,F,james johnson,867,2009,James Johnson,6' 7'',257.2,COMBO F,100.89,96.90%,100.89,measured
Toronto Raptors,Jamison Battle,1642419,F,jamison battle,,,,,,,,,85.83,imputed
Indiana Pacers,Jarace Walker,1641716,F,jarace walker,177,2023,Jarace Walker,6' 6.50'',248.6,BIG,108.14,99.20%,108.14,measured
Philadelphia 76ers,Jared Butler,1630215,G,jared butler,,,,,,,,,80.625,imputed
Philadelphia 76ers,Jared McCain,1642272,G,jared mccain,105,2024,Jared McCain,6' 2.00'',203.2,WING,73.93,9.70%,73.93,measured
Toronto Raptors,Jared Rhoden,1631197,G,jared rhoden,,,,,,,,,80.625,imputed
Memphis Grizzlies,Jaren Jackson Jr.,1628991,F-C,jaren jackson jr,,,,,,,,,95.17,imputed
Los Angeles Lakers,Jarred Vanderbilt,1629020,F,jarred vanderbilt,,,,,,,,,85.83,imputed
Cleveland Cavaliers,Jarrett Allen,1628386,C,jarrett allen,483,2017,Jarrett Allen,6' 9'',233.6,BIG,95.76,79.20%,95.76,measured
Cleveland Cavaliers,Javonte Green,1629750,G,javonte green,,,,,,,,,80.625,imputed
Los Angeles Lakers,Jaxson Hayes,1629637,C-F,jaxson hayes,372,2019,Jaxson Hayes,6' 10.25'',218.6,BIG,81.12,13.80%,81.12,measured
Memphis Grizzlies,Jay Huff,1630643,C,jay huff,,,,,,,,,93.27,imputed
Boston Celtics,Jaylen Brown,1627759,G-F,jaylen brown,,,,,,,,,84.81,imputed
Minnesota Timberwolves,Jaylen Clark,1641740,G,jaylen clark,,,,,,,,,80.625,imputed
Washington Wizards,Jaylen Martin,1641798,G,jaylen martin,,,,,,,,,80.625,imputed
Memphis Grizzlies,Jaylen Wells,1642377,F,jaylen wells,107,2024,Jaylen Wells,6' 6.50'',206.2,WING,78.78,25.70%,78.78,measured
