team,player_name,player_id,position,name_key,unnamed:_0,year,player,height,weight,position_bsp,bsparq,nba_pct
Los Angeles Lakers,Shake Milton,1629003,G,shake milton,453.0,2018.0,Shake Milton,6' 4.5'',207.2,COMBO G,84.07,70.90%
Los Angeles Lakers,LeBron James,2544,F,lebron james,,,,,,,,
Los Angeles Lakers,Alex Len,203458,C,alex len,,,,,,,,
Los Angeles Lakers,Rui Hachimura,1629060,F,rui hachimura,,,,,,,,
Los Angeles Lakers,Jordan Goodwin,1630692,G,jordan goodwin,,,,,,,,
Los Angeles Lakers,Trey Jemison III,1641998,C,trey jemison iii,,,,,,,,
Los Angeles Lakers,Luka Dončić,1629029,F-G,luka doncic,,,,,,,,
Los Angeles Lakers,Markieff Morris,202693,F,markieff morris,,,,,,,,
Miami Heat,Isaiah Stevens,1641815,G,isaiah stevens,,,,,,,,
Miami Heat,Terry Rozier,1626179,G,terry rozier,595.0,2015.0,Terry Rozier,6' 0.5'',190.2,COMBO G,84.77,73.90%
Miami Heat,Nikola Jović,1631107,F,nikola jovic,,,,,,,,
Miami Heat,Kel'el Ware,1642276,C,kel el ware,115.0,2024.0,Kel'el Ware,6' 11.75'',230.0,BIG,96.9,83.20%
Miami Heat,Josh Christopher,1630528,G,josh christopher,283.0,2021.0,Josh Christopher,6'3.25'',214.8,WING,85.56,59.80%
Miami Heat,Pelle Larsson,1641796,G,pelle larsson,131.0,2024.0,Pelle Larsson,6' 5.25'',212.4,WING,86.95,66.70%
Miami Heat,Jaime Jaquez Jr.,1631170,G,jaime jaquez jr,173.0,2023.0,Jaime Jaquez Jr.,6' 6.00'',226.4,WING,100.28,98.60%
Miami Heat,Dru Smith,1630696,G,dru smith,,,,,,,,
Miami Heat,Bam Adebayo,1628389,C-F,bam adebayo,,,,,,,,
Miami Heat,Tyler Herro,1629639,G,tyler herro,,,,,,,,
Miami Heat,Keshad Johnson,1642352,F,keshad johnson,116.0,2024.0,Keshad Johnson,6' 6.25'',224.0,BIG,92.79,66.50%
Miami Heat,Alec Burks,202692,G,alec burks,755.0,2011.0,Alec Burks,6' 5'',192.6,WING,77.76,21.50%
Miami Heat,Kyle Anderson,203937,F-G,kyle anderson,,,,,,,,
Miami Heat,Andrew Wiggins,203952,F,andrew wiggins,,,,,,,,
Miami Heat,Haywood Highsmith,1629312,F,haywood highsmith,,,,,,,,
Miami Heat,Kevin Love,201567,F-C,kevin love,930.0,2008.0,Kevin Love,6' 7.75'',255.0,BIG,97.69,85.60%
Miami Heat,Davion Mitchell,1630558,G,davion mitchell,,,,,,,,
Miami Heat,Duncan Robinson,1629130,F,duncan robinson,,,,,,,,
Milwaukee Bucks,Damian Lillard,203081,G,damian lillard,707.0,2012.0,Damian Lillard,6' 1.75'',188.8,PG,87.03,95.00%
Milwaukee Bucks,Jericho Sims,1630579,C,jericho sims,279.0,2021.0,Jericho Sims,6'9.0'',250.2,BIG,114.99,100.00%
Milwaukee Bucks,Kevin Porter Jr.,1629645,G-F,kevin porter jr,377.0,2019.0,Kevin Porter Jr.,6' 4'',212.6,WING,79.55,29.10%
Milwaukee Bucks,Gary Trent Jr.,1629018,G,gary trent jr,,,,,,,,
Milwaukee Bucks,Chris Livingston,1641753,F,chris livingston,162.0,2023.0,Chris Livingston,6' 6.00'',219.2,WING,89.05,76.10%
Milwaukee Bucks,Bobby Portis,1626171,F,bobby portis,561.0,2015.0,Bobby Portis,6' 9.5'',246.2,BIG,83.85,23.10%
Milwaukee Bucks,Brook Lopez,201572,C,brook lopez,897.0,2008.0,Brook Lopez,6' 11.25'',258.0,BIG,93.36,69.20%
Milwaukee Bucks,Taurean Prince,1627752,F,taurean prince,552.0,2016.0,Taurean Prince,6' 6.5'',220.2,WING,96.9,96.00%
Milwaukee Bucks,Ryan Rollins,1631157,G,ryan rollins,252.0,2022.0,Ryan Rollins,6' 2.00'',179.2,WING,76.5,17.00%
Milwaukee Bucks,Jamaree Bouyea,1631123,G,jamaree bouyea,,,,,,,,
Milwaukee Bucks,Stanley Umude,1630649,G,stanley umude,,,,,,,,
Milwaukee Bucks,Kyle Kuzma,1628398,F,kyle kuzma,494.0,2017.0,Kyle Kuzma,6' 8'',222.6,WING,82.29,42.50%
Milwaukee Bucks,AJ Green,1631260,G,aj green,,,,,,,,
Milwaukee Bucks,Tyler Smith,1641890,F,tyler smith,146.0,2024.0,Tyler Smith,6' 9.00'',223.8,BIG,93.77,71.00%
Milwaukee Bucks,Tyler Smith,1641890,F,tyler smith,890.0,2009.0,Tyler Smith,6' 5.25'',212.0,WING,83.57,49.30%
Milwaukee Bucks,Pat Connaughton,1626192,G,pat connaughton,585.0,2015.0,Pat Connaughton,6' 4'',215.0,WING,102.79,99.40%
Milwaukee Bucks,Giannis Antetokounmpo,203507,F,giannis antetokounmpo,,,,,,,,
Milwaukee Bucks,Pete Nance,1631250,F,pete nance,,,,,,,,
Milwaukee Bucks,Andre Jackson Jr.,1641748,G,andre jackson jr,154.0,2023.0,Andre Jackson Jr.,6' 5.50'',198.4,WING,82.51,43.70%
Minnesota Timberwolves,Donte DiVincenzo,1628978,G,donte divincenzo,424.0,2018.0,Donte DiVincenzo,6' 3.5'',200.6,WING,91.26,84.20%
Minnesota Timberwolves,Terrence Shannon Jr.,1630545,G-F,terrence shannon jr,202.0,2023.0,Terrence Shannon Jr.,6' 5.50'',220.0,WING,92.61,88.20%
Minnesota Timberwolves,Terrence Shannon Jr.,1630545,G-F,terrence shannon jr,308.0,2021.0,Terrence Shannon Jr.,6'5.5'',206.6,WING,89.23,76.90%
Minnesota Timberwolves,Jaden McDaniels,1630183,F,jaden mcdaniels,,,,,,,,
Minnesota Timberwolves,Rob Dillingham,1642265,G,rob dillingham,,,,,,,,
Minnesota Timberwolves,Anthony Edwards,1630162,G,anthony edwards,,,,,,,,
Minnesota Timberwolves,Joe Ingles,204060,F-G,joe ingles,874.0,2009.0,Joe Ingles,6' 7.75'',209.2,WING,76.36,16.50%
Minnesota Timberwolves,Josh Minott,1631169,F,josh minott,,,,,,,,
Minnesota Timberwolves,Nickeil Alexander-Walker,1629638,G,nickeil alexander walker,,,,,,,,
Minnesota Timberwolves,Mike Conley,201144,G,mike conley,1013.0,2007.0,Mike Conley,5' 11'',175.0,PG,83.92,87.40%
